title,company_name,location,from,Benefits,Qualifications,Responsibilities,applyLink,thumbnail
Data Scientist,Exponent,"Irvine, CA",via Talentify,,"Ph.D. in Data Science, Physics, Applied Mathematics, Statistics, Computer Science, or a related engineering/scientific field OR M.S. plus 3+ years’ experience in Data Science, Physics, Applied Mathematics, Statistics, Computer Science, or a related engineering/scientific field such as Electrical Engineering, Computer Engineering, Computational Chemistry, Bioinformatics, or Computational Biology. Required to have demonstrated expertise in one or more functional or technical domains while developing expertise in other domains:. Cloud Architecting. Database Administration. Data Analysis and Visualization. Electronic Health and Medical Records Analysis. Geospatial Data Analysis. Business Analytics. Machine Learning & Deep Learning. Natural Language Processing. Computer Vision. Software Development. Required to have proficiency with Python, including common data science libraries. Required to have proficiency with SQL, including query design on large, complex datasets. Required to have experience maintaining, processing, and analyzing large structured and/or unstructured datasets. Required to be a strong storyteller with excellent verbal, written, and visual communication skills. Above all, a willingness to learn and embrace new technologies and ideas in domains beyond your area of expertise, working with a diverse set of clients and government agencies","In this role, you will partner with scientific and engineering experts to rapidly implement data solutions in the life sciences, health data science, consumer electronics, and utilities industries. Your solutions and models will generate real-world, tangible, and immediate business and public health impact along the entire data science lifecycle. Providing expertise to multi-disciplinary engineering teams in foundational data science domains, including data management, programming, statistics, and data storytelling. Exploring, transforming, analyzing, and visualizing large datasets in various formats, including tables, text, images, documents, medical records, and time-series. Collaborating with Exponent IT and client-side technical contacts for developing on-premises, hybrid, and cloud-based transfer, storage, compute, database, and reporting pipelines. Working in office, laboratory, and field settings for data collection and analysis activities. Identifying and suggesting solutions to possible problematic data and analyses, making corrections, determining root causes for data problems, and preserving lessons learned. Becoming a thought-leader through a commitment to ongoing professional development of technical skills, staying up to date with the state-of-the-art in data science techniques. Empowering practice leadership to effectively market data science capabilities, internalizing and educating fellow consultants on capabilities and advances in the field. Handling multiple projects in a fast-paced environment, being responsive to client needs and demonstrating a willingness to go the extra mile to meet timelines and performance expectations. Our consultants are rewarded for their technical and business contributions and have an opportunity to plan for future success and career growth. At the Associate and Senior Associate level total compensation includes base salary, bi-weekly bonuses for high intensity efforts, annual bonus and 401(k) employer contribution of 7% of base salary. The base salary range for this position is $110,000 - $140,000 depending on experience and capabilities which will be assessed during the interview process",https://exponent.talentify.io/job/data-scientist-irvine-california-exponent-6128?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPI9bry6KL7AggyYTx0KedDRZZ4qKbMy6Nm5kU&s=0
Data Science Analyst Sr.,"Experian Information Solutions, Inc.","Costa Mesa, CA",via Jobs.computer.org,"Telecommuting permitted from anywhere in the U.S. Role incl. a comprehensive benefits pkg including hlth, life and disability insurance, PTO incl 12 paid holidays & parental & family care leave, employee stock purchase plan and 401(k) plan w/ company match",,,https://jobs.computer.org/jobs/?keywords=Experian+Information+Solutions+Inc.&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Senior Data Scientist (Remote),iHerb,"Irvine, CA",via Monster,,"Experience with one or more programming or scripting languages (Python, R, C#, Java, or Scala). Hands-on experience with statistical modeling and machine learning packages (scikit-learn, LightGBM, XGBoost, Keras, Pytorch, Tensorflow, statsmodels, Stan, etc.). Deep understanding of at least one of the following: Operations Research, Statistical Modelling, Hypothesis Testing, Statistical Simulation, Probabilistic Modelling, or Time Series Analysis. Ability to gather data from multiple sources (SQL, Spark, etc.) and use data visualization packages to analyze the gathered data (Seaborn, Matplotlib, ggplot, Plotly, etc.). Experience with Microsoft Office Suite (Word, Excel, PowerPoint). Generally requires 5 (five) years of relevant experience in data analysis or a related field (Data Scientist, Machine Learning Engineer, Statistician, or related field) and 2 (two) years of relevant work experience in data analysis or related field. (e.g., as a Data Scientist, Statistician, or related position). Master's Degree in Computer Science, Statistics, Applied Mathematics, Physical Sciences, or related quantitative fields. Judgment/Reasoning Ability: Able to identify, troubleshoot and resolve problems quickly using sound judgment, poise and diplomacy. Ability to use judgment and reasoning skills and determine when to escalate issues, as required, in a timely manner. Hectic, fast-paced, with multi-level distractions","The Senior Data Scientist will be leading in tackling challenging problems and creating statistical, machine learning, and deep learning models that impact millions of users. The Senior Data Scientist will join a team of data scientists, machine learning engineers, and software developers who work closely with business partners to provide machine intelligence-driven solutions and products to simplify and enhance the customer experience and to automate core business processes. Create machine learning, deep learning, and statistical models that turn insights into robust products for our customers and business partners. Translate ambiguous business problems into analytical problems, bringing your stakeholders along the way. End-to-end analysis, including data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations. Prototype and build analytical pipelines using various data sources to provide insights at scale. Interact cross-functionally with a wide variety of teams and work closely with them to identify opportunities to improve on iHerb's platform. Develop analytical solutions, forecasting, and optimization methods to improve the quality of iHerb's user experience. Areas include product recommendation, end-user behavioral modeling, user engagement, pricing, fraud detection, etc. Make business recommendations (e.g. cost-benefit, forecasting, experiment analysis) based on rigorous analysis. While performing the duties of this job, the Team Member is regularly required to talk and hear. The Team Member is frequently required to sit, walk, climb stairs, use hands and fingers, bend, stoop and reach with hands and arms. The Team Member may occasionally lift or move office products and supplies up to 25 pounds. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions. Work Environment: The noise in the work environment is usually moderate. Empower Our People. Be Entrepreneurial & Pivot Quickly ·. The anticipated pay scale for this position can be found below, however the pay range applicable to you may vary by geographic location based on where the job is located or where you work. The final pay offered to a successful candidate will be dependent on several factors that may include but are not limited to the type and years of experience within the job, the type of years and experience within the industry, education, etc. Employees (and their families) that meet eligibility criteria as outlined in applicable plan documents are eligible to participate in our medical, dental, vision, and basic life insurance programs and may enroll in our company’s 401(k) plan. Employees will also be eligible for Time Off and Paid Sick Leave pursuant to the company’s policies. Employees will enjoy paid holidays throughout the calendar year. Hired applicant may be awarded Restrict Stock Units and receive annual bonuses pursuant to eligibility and performance criteria defined in the respective plan documents and policies. $105,000—$167,045 USD",https://www.monster.com/job-openings/senior-data-scientist-remote-irvine-ca--4c945b6a-8a16-4e34-a8b1-47be769b6313?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHssTvctROe0V-JsvyMOEnyB4iz5Cozc4_NurLj4Q&s
Senior Data Scientist,Public Storage,"Ontario, CA",via WJTV Jobs,,"Bachelors/Masters in STEM fields such as physics, social/economics, or business with a strong technical acumen required. Alternative to education, 6+ years of experience as contributor/leader. Strong verbal communication skills: ability to effectively communicate cross functionally; experience as a DS team lead or department head of data science. Strong command of applied math (linear/matrix functions) with deep learning theory and practice; Both frequentist or Bayesian welcome. Proficiency with programming and Scripting languages: Python/R, SQL and C#/+. Experience with analytic frameworks and open source libraries. Passionate about thinking through problems and solving them. Realistic view of AI and understanding of how to use deep learning in real-world situations. Exceptional programming skills (Python, SQL, C+) in a production environment is required","The role will lead the people, process and tool choices that support the efforts to build and deploy models that explain the real world, using a must-have combination of intuition, math and programming (Python/R and SQL are mandatory). She/He will be a continuously learning advocate and teacher with a talent for breaking down complex systems into solvable components and executing against that vision. As part of the role is to mentor data scientists and analysts, you love working with the team on any mix of issues that come to light such as in-depth technical/code reviews, hackathons, or whiteboarding to break down problems from multiple angles. Exceptional verbal and written skills to convey ideas, problems and solutions. Responsible for designing team processes and applying design patterns that apply statistical and model rigor. Balance design choices with calculated trade-offs and revisit proactively. SME on algorithms and designs code that can be refactored easily by a data engineers. Builds repo and maintains a library of models that can be applied/refactored on similar design patterns. Expert in both unstructured and structured data set ingestion and classification, regression, deep learning etc. Mentors and trains teams in new techniques and pushes boundaries of existing technology to deliver enterprise value. Owns the Confluence knowledge repository and GitHub model repo. Refresh, troubleshoot and update models as needed. Thought leader on how to converge available data, transfer learning from other projects and test new algorithms that optimize across large, ambiguous data sets. Coordinate design and architecture with data engineering resources. Base Pay Range: $140,000 - $180,000. Compensation may vary outside of this range depending on a number of factors, including a candidate's qualifications, skills, competencies and experience, and location. Base pay is one part of our total awards approach to compensation which is provided to compensate and recognize employees for their work, and this role may be eligible for additional discretionary bonuses or incentives",https://jobs.wjtv.com/jobs/senior-data-scientist-ontario-california/917141882-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVxKP-IAmWdeKSl_N14fyCYig4ep2LUsS-q4Ni&s=0
Ecommerce Data Scientist - REMOTE,Stingray Direct,Anywhere,via Salary.com,,"Bachelor’s degree in Statistics, Math, Computer Science, or related fields. 3 years of experience in SQL. 3 years of experience utilizing machine learning algorithms and tools. 3 years of experience using Python and R. 2 years of experience with Google Bigquery/Redshift. 3 years of experience in data science/analytics. Bachelor's (Required). SQL: 3 years (Required). Python: 3 years (Required). E-commerce: 1 year (Required)","The Ecommerce Data Scientist will work directly with the Director of Analytics, CEO, and other team members to help analyze results and develop actionable strategies. The Ecommerce Data Scientist must have experience analyzing customer and operational data using predictive analytics and machine learning to help create a clearer picture of consumer behavior. Answer specific business questions using statistical techniques applied to customer, inventory, and subscription data to create actionable insights. Mine complex data sets to identify, analyze, and interpret trends and patterns. Automate inventory forecasting models to make purchasing recommendations. Develop predictive models using subscription data to answer questions about churn, customer LTV, and ROAS. Determine short and long term effects of AB tests on revenue, customer retention, and other KPI. Use machine learning to enhance our understanding of customer journeys and behavior. Salary $120,000 (based on experience). Paid time off (PTO). Paid annual company holidays. Health, dental, and vision insurance. Employer matching 401K participation. We match your charitable contributions up to $5,000/yr. Work from home (WFH) stipend of $100/month. Free employee product samples and discounts. Pay: $120,000.00 per year. 401(k) matching. 8 hour shift. Work from home remote position",https://www.salary.com/job/stingray-direct/ecommerce-data-scientist-remote/j202208200621313748465?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Data Scientist,Metagenics,"Aliso Viejo, CA",via Ladders,,"Ph.D. or Master’s Degree in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline. A deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms. 7-10 years of experience delivering world-class data science outcomes, you solve complex analytical problems using quantitative approaches with your unique blend of analytical, mathematical and technical skills. Experience analyzing large, complex, multi-dimensional datasets with a variety of tools. You are accomplished in the use of statistical analysis environments such as SPSS or SAS. You have experience with BI tools such as Oracle, Tableau and Microstrategy. You’re as comfortable with relational databases as you are with Hadoop-based data mining frameworks. You are familiar with SQL, Python, Java and C/C++. Requires clear vision at 20 inches or less with or without corrective lenses. Hearing and speech within normal ranges and sufficient for clear communication face to face and especially via the telephone","The role holder will be focused on the company’s agenda working on high-impact projects utilizing big data analytics and machine learning to initially deliver payload(s) of financial and product KPI’s but also predictive modelling to improve our decision making. The data science team will work closely with the Master Data Management, Business Intelligence and IT team to productionalize models and analytics as required. Advocate, evangelize and build data-fuelled products that help our business and customers improve performance through augmented decision making. You’ll dig in and become an expert on our optical datasets. You will provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables. Work with cross-functional team members to identify and prioritize actionable, high-impact insights across a variety of core business areas. You will lead applied analytics initiatives that are leveraged across the breadth of our solutions. Research, design, implement and validate cutting-edge algorithms to analyze diverse sources of data to achieve targeted outcomes. Provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization. Coordinate with the IT organization which designs, implements and maintains infrastructural data systems in a geographically distributed fashion. Contribute to formulation of Information Services strategy by identifying business issues, recommending actions and ensuring business needs are reflected in the overall plan. Coach and mentor the data science team to become proficient in all the in-scope methodologies, PMO, technologies and applications. Establish a solid relationship with outsourced suppliers to ensure services are affordable and delivered above expectations. Bring forward individual training and succession plans to prepare for the next generation of data science leadership. Expand KPI reporting to encompass new business acquisition such that it fits with the overall KPI payload framework. Continuously evaluate new initiatives to ensure alignment with Information Services strategy and technology statement of direction. Represent the data science team externally at national level to ensure Essilor business interests are protected and promoted. Prime responsibility for developing the data science budget directing and controlling expenditure, planning and forecasting future budgets. Specific focus on developing and executing allocation model. Support and adhere to all IT policies, procedures and standards, including but not limited to, IT Guiding Principles, Project Management, Change Management, Internal and External Compliance such as Health & Safety, Quality, Regulatory and Finance, and support of Internal and External Audits. Perform all activities in compliance with the internal and external requirements / standards for Health & Safety, Quality, Regulatory and Finance. Sits at a computer station, meeting table or work desk for more than two-thirds of each day. Stands and walks to other stations and departments throughout the day. Uses hands and fingers to operate computers and office equipment most of the day. Lifts up to 10 pounds regularly; lifts 25 pounds occasionally. Exposed to noise levels typical of office environments. The current range for this role based out of Texas is $116k/yr - $150k/yr. The wage range for this role takes into account the wide range of factors that are considered in making compensation decisions including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. This role may also be eligible to participate in a discretionary annual incentive program, subject to the rules governing the program, whereby an award, if any, depends on various factors, including, without limitation, individual and organizational performance. Medical, dental, vision. Annual employer HSA (Health Savings Account) funding for eligible employees who elect an HSA medical plan. STD, LTD, Basic Life AD&D coverage. 401k + employer matching. Free mental health resources through wayForward. Vacation and Sick Time. 2 Volunteer Days off per year. Emergency evacuation time off. 11 paid company holidays. Quarterly product allowance to use towards your favorite Metagenics products!. Product discount. Peer to peer recognition programs & more!",https://www.theladders.com/job/data-scientist-metagenics-aliso-viejo-ca_62110002?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxuhqU7lXqtpJhCy-PaY2KPuiqf9s_KF2yPlEf4is&s
Data Science Advisor [HYBRID],Southern California Edison,"Azusa, CA",via Nexxt,,"Five or more years of Data Science experience (Supervised/Unsupervised Machine Learning, Natural Language Processing or Advanced Statistical Analysis such as Causal Inference, Predictive Analytics, Bayesian, etc.). Seven or more years of experience leading projects from design to implementation. Seven or more years of experience in Statistical Software (such as R, SAS, Python, etc.). Three or more years of experience in SQL","In this job, you will join a team of data engineers and data scientists in the Customer Analytics group to generate customer insights and help improve customer experience. In this position, you will 1) Seek to understand business needs, imperatives, and emerging priorities 2) Design and implement advanced analytical models such as predictive analytics, machine learning and natural language processing 3) Communicate recommendations with actionable insights; influence various collaborators to implement recommendations and 4) Find efficiencies in existing data processes to improve speed and quality of future data projects. Collect and analyze customer data using advanced analytical processes in statistics (e.g., logistic regression) and artificial intelligence (machine learning, natural language processing); search through large data sets for usable information; automate data processes. Lead advanced analytics projects from defining scope, aligning with business outcomes, collaborating and communicating with cross-functional teams, and meeting timelines. Perform ad hoc analyses and create reports based on business needs",https://www.nexxt.com/jobs/data-science-advisor-hybrid-azusa-ca-2430016381-job.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic&aff=2ED44C72-8FD2-4B5D-BC54-2F623E88BE26&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
"Director, Data Science",Ingram Micro,"Irvine, CA",via LinkedIn,,"5 to 10 years of experience leading a data science organization, experience within B2B or B2C eCommerce and ML automation is required. Master’s degree with a preference for a Ph.D. in a technical field such as Statistics, Operations Research, Applied Mathematics, Physics, Computer Science, Engineering, Economics (applied micro, applied econometrics, empirical IO, labor, finance, behavioral, applied macro/time series). Significant expertise leading the data science function preferably at a technology-intensive ecommerce business. Experience with Google cloud platform, ML Big Query, Looker OR other equivalent cloud technologies on AWS or Azure Advanced skills in statistics, mathematical modeling, econometrics, and computer science. Ability to retrieve, synthesize, and present critical data in a format that is immediately useful to answering specific questions or improving system performance. Ability to build and oversee Machine Learning and statistical models to solve specific business problems within an eCommerce landscape. A visionary who understands the relevance and impact that data and analytics can have and can leverage into a future state vision. Transformational and seasoned advanced analytics, data science and quantitative skills with proven ability to drive results and lead a team from vision through execution and delivery. Ability to provide leadership by applying quantitative analytics to business problems. A track record around driving innovation and transformative change. Exceptional commercialization skills with prior experience leading efforts to turn ideas into profit-generating products and solutions. Experience working effectively in complex organizations, satisfying the needs of diverse constituents, leading through a matrix, and often working under the pressure of competing and sometimes conflicting priorities. Superior communication, and client management skills and comfortable presenting to and influencing senior executive leadership team. A demonstrated ability to lead and motivate people and get results through others. Ability to organize and manage multiple initiatives and priorities. Problem analysis and resolution at a strategic and functional level. Therefore, this position requires applicants to submit proof, prior to start date, that the successful applicant is fully vaccinated against COVID-19","The Director will have responsibility for Ingram Micro’s Digital & eCommerce Data Science bench, including advanced Machine Learning and AI model development with rapid deployment into the eCommerce channel. The Director’s team will focus on building scalable solutions, developing advanced algorithms, deploying models and model output in a robust cloud based MLOps environment, and providing science based professional services, with an eye towards driving solutions which empower Ingram Micro’s ecommerce engines. The team of direct reports will be responsible for developing a full-funnel, rapidly deployed machine learning analytics platform focused recommendation engines, forecasts, personas, purchase behavior and enhancing the overall digital experience for our customers, vendors, and associates. The role requires the individual to be a hands-on integrated science leader: translating business objectives to the broader team. The role will establish the rapid deployment of ML based models that drive an enhanced user experience while fulfilling our customers’ needs for recommendations and solution-based offerings. The role will work in a dynamic environment working closely with Ingram Micro’s digital leadership team. Partner with business, product, and engineering teams, to deliver ML solutions that enable launch of Ingram Micro Xvantage™ platform for Customers, Vendors and Associates globally across 60+ countries. Develop innovative data science solutions, products, and strategies across the global business for the digital/eCommerce business unit. Work closely with multiple business units to identify areas for further analysis, and supervise the data collection, model development, analysis, implementation, tracking, and reported ROI. Develop and execute innovative science models and tools to expand the scope of analytic product offerings, including but not limited to traditional operations and logistics optimizations, customer and product segmentation, sales and marketing strategies/tactics and insights for vendors and reseller partners. Gain executive and business unit approval for data science strategies. Test and implement strategies in live market conditions. Work with and analyze structured and unstructured data, build POC ML models, develop new concepts and creative offerings leveraging ML/AI capabilities, test and validate models in live settings prior to launching on a local, country, regional, and global scale, deploy production level models and output at scale on Ingram’s eCommerce platform. The typical base pay range for this role across the U.S. is USD $150,600 - $207,000 - $263,500 per year. The ranges above reflect the potential annual base pay across the U.S. for all roles; the applicable base pay range will depend on the candidate’s primary work location, pay grade, and variable compensation plan. Individual base pay within each range depends on various factors, in addition to primary work location, such as complexity and responsibility of role, job duties/requirements, and relevant experience and skills. Base pay ranges are reviewed and typically updated each year. Offers are made within the base pay range applicable at the time of hire. New hires starting base pay generally falls in the bottom half (between the minimum and midpoint) of a pay range. At Ingram Micro certain roles are eligible for additional rewards, including merit increases, annual bonus or sales incentives and long-term incentives. U.S.-based employees have access to healthcare benefits, paid time off, parental leave, a 401(k) plan and company match, short-term and long-term disability coverage, basic life insurance, and wellbeing benefits, among others",https://www.linkedin.com/jobs/view/director-data-science-at-ingram-micro-3394855527?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtUiJfEXKcw0icX02nGIgwDYsDRGt2A7k_MUvnFvA&s
Atmospheric Data Scientist - 121643,UC San Diego,California,via UCSD Employment,,"Thorough knowledge of research function. Ability to work with large datasets with different formats and components, including NetCDF, GRIB, and binary. Thorough skills associated with statistical analysis and systems programming. Proven expertise in programming to include shell scripting, Matlab, IDL, Fortran, Perl, NCL, and Python, amongst other programming languages. Must be proficient in Linux environments. Thorough skills in analysis and consultation. Strong time management skills. Ability to prioritize tasks appropriately and meet deadlines. Skills to communicate complex information in a clear and concise manner both verbally and in writing. Skills in scientific visualization, scientific writing, and experience presenting at scientific conferences (poster and oral presentations). Skills in project management. Excellent interpersonal skills including thoughtfulness, diplomacy and flexibility with the ability to work independently or within ateam framework in conjunction with principles of community with staff, faculty, researchers, and students. Experience running numerical weather prediction models on high-performance computing (HPC) platforms","The Atmospheric Research Modeler is responsible for supporting the development, evaluation, verification, and improvement of mesoscale weather prediction models. Analyzes large data sets including model data and observations from several platforms, and develops forecast models and decision support tools focused on atmospheric processes related to extreme events and their impacts. Calculates model verification statistics to assess the prediction skill of the CW3E weather forecast system. Contributes to a variety of modeling projects, including CW3E near-real time forecasting system, high-resolution reanalysis, dynamical ensembles, high-resolution simulations of landfalling atmospheric rivers, and the representation of the marine boundary layer. Supports the analysis and dissemination of experimental results via conference presentations, manuscripts, technical reports, and other publications. Researches assignments that are of moderate diversity in scope. Exercises judgment within generally defined practices and policies in selecting methods and techniques for obtaining solutions. Annual Full Pay Range: $63,400 - $142,800 (will be prorated if the appointment percentage is less than 100%). Hourly Equivalent: $30.36 - $68.39",https://employment.ucsd.edu/atmospheric-data-scientist-121643/job/23560699?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5BHHVI6BFAl8WhDoqlyfQy4DWK1FabCIoUdwg&s=0
Head of Data Science,Harnham,"San Bernardino, CA",via Tarta.ai,,"8+ years of full time experience in data science and analytics. 5+ years of experience in leadership. Extensive background in fintech and finance. Hands on experience deploying machine learning and statistical models into real world applications. Strong communication skills, experience working with C-level stakeholders and implementing strategy. Tools: Python, SQL, AWS Sagemaker","As the Head of Data Science you will. Lead a team of 6 data scientists and analysts and continue to grow out the team. Drive the vision and strategy for the entire team and deliver high impact solutions using machine learning and predictive modeling. Work directly with leadership teams, stakeholders, and clients. Review code, lead projects, and build out models end to end for fraud detection and risk analysis. As the Head of Data Science, you can expect a base salary between $220,000 to $240,000 (based on experience) plus competitive benefits",https://california.tarta.ai/j/fsRJU4UBvf0LOA5EzM4v1222-head-of-data-science-in-san-bernardino-california-at-harnham?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
