title,company_name,location,from,Benefits,Qualifications,Responsibilities,thumbnail,applyLink,description
Frontend Developer,Mobile Programming LLC,"Bengaluru, Karnataka, India",via LinkedIn,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRa-h5pT1cJWKfLnSgzCdUk2rWi-TN5utMx-1BCqEk&s,https://in.linkedin.com/jobs/view/frontend-developer-at-mobile-programming-llc-3485930924?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Frontend Developer

Experience:- 5+ years

Location:- Bengaluru

Required Skill Set:- HTML5, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Node.js, UI/UX, SQL.

Job description:-

Competency:-
• 5+ years of software engineering experience focused on web development.
• Hands on experience in architecting large scale frontend applications.
• Have detailed hands-on experience of cutting edge web technologies (HTML5, CSS, JavaScript, TypeScript), Application Servers, Web Applications.
• Experience developing UI with JavaScript development frameworks (e.g. React, Angular, Vue, Bootstrap, etc.).
• Have in-depth understanding of application performance and scalability.
• Deep understanding of Web and Information Security concepts and concerns, such as CORS, CSP, CSRF, XSS, etc.
• An expert in debugging and profiling Browsers and Node.js, and understand ways to decrease page load speed and runtime slowdowns.
• Experience working with product management and design teams.
•... Proficiency with UI/UX paradigms to build elegant user experiences.
• Experience in efficiently collaborating on projects.
• Strong Code and documentation - your code should be used as the example for your company and you have the ability to build and design technical solutions from the ground up.

Scope:-
• Your diffs demonstrate a consistent pattern of well-structured code.
• You consistently consider small diffs, and are proficient in creating and landing them from the outset.
• You regularly write tests (code or data as appropriate) without having to be reminded.
• You are receptive to code review feedback and refrain from repeating these mistakes, even helping others identify the same issue in their code.
• You are a regular contributor to code reviews.
• You identify bottlenecks and propose solutions that are then adopted by other members of your team.
• You are quick to comprehend and adopt new design patterns, as well as refactor them across older services and modules, pipelines and scripts.
• When you encounter a problem that you cannot solve on your own, you proactively seek guidance from more experienced developers on your team and incorporate it into your code.
• You take the time to observe how more experienced developers on your team tackle debugging during outages and other high-impact events by sitting in on non-required meetings and walking through their process on the job.
• You proactively clean up feature flags you have created, before they become stale.
• You create automated programs which cover critical use cases and avoid regressions and/or issues late in the deployment phases.

Summary:-
• developing new features and functionality for existing systems Providing technical support for existing applications, systems, and infrastructure as needed.
• Collaborating with other members of the development team to ensure that all components of an application meet functional and design requirements.
• Debugging code to find and fix errors in existing applications Testing new features to ensure that they function properly.
• Creating prototypes of new applications or features to demonstrate potential functionality to stakeholders.
• Communicating with clients or other team members to clarify details about project objectives and requirements.
• Conducting code reviews to ensure that new code follows best practices.
• Writing code using specific programming languages and tools such as HTML, CSS, JavaScript, SQL"
Lead Frontend Developer,Infra.Market,"Bengaluru, Karnataka, India",via Bigshyft.com,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQswmXWtozDldtK_Xrp-RsMJxlbLVnENnLejoDSyXU&s,https://www.bigshyft.com/lead-frontend-developer-job-in-infra-dot-market-bengaluru-8-to-14-years-1024989-20230217-jid?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"What makes you a great fit:
• Good problem solving skills.
• Strong knowledge of CS fundamentals, data structures.
• Experience in working with front end technologies and/or front end frameworks like React, React Native, Angular, Flutter.
• Experience working in software development with one or more of the following programming languages; Kotlin, Java, JavaScript, Swift, C/C++.
• Experience in building and delivering mobile/web applications.
• Must have hands on experience in Restful APIs.
• Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.
• Ability to ship features on a weekly basis: should be good at time management and prioritization.
• Hands-on experience in CI/CD principles and TDD.
• Strong written and verbal English communication skills."
Frontend Developer,Assiduus Global,"Bengaluru, Karnataka, India",via Instahyre,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzvGHPEwu9_dP9Vaeu_3pPmakimBsSDw47mmh4uMM&s,https://www.instahyre.com/job-233814-frontend-developer-at-assiduus-global-bangalore/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Assiduus Global is looking for ambitious and energetic Front end developers who are passionate about technology and being part of a young, global, growing organization. Job Location for this role is Bangalore.

Responsibilities:
• Use coding languages to create user-friendly web pages and applications.
• Constantly maintain pages and update them to improve the user journey and aesthetics.
• Testing and analysing existing code to improve the experience.
• Diagnosing and debugging any errors in code.
• Communicating with design and development teams to align on-site vision.
• Help to create and maintain templates and guideline documents for future pages.
• Streamlining communication between stakeholders in design and back end development.
• Staying up to date on changes or trends in the Front End Development industry.

Requirements:
• Must have Tech stacks: ReactJs, HTML, CSS, Javascript, D3.js, JSON, Redux, React
• Hook Forms, JSX, Typescript, Material UI
• Experience level: Must be... coding in ReactJs for at least 2 years dedicatedly
• Education: B. E, B. Tech in CS/IT preferred but not mandatory"
Frontend Developer,QueueBuster POS,"Noida, Uttar Pradesh, India",via Bigshyft.com,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOFNVS9yBR29uDgLxKFwQ1s6FPxQg-T2S8b_R7jTQ&s,https://www.bigshyft.com/frontend-developer-job-in-queuebuster-pos-noida-2-to-5-years-1025069-20230217-jid?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"What you’ll do:
• Responsible for profiling and improving front-end performance and documenting our front-end codebase.
• To ensure success as a react.js developer, you should have in-depth knowledge of JavaScript and React concepts, excellent front-end coding skills, and a good understanding of progressive web applications.
• Ultimately, a top-class react.js developer should be able to design and build modern user interface components to enhance application performance.
• Therefore, a commitment to collaborative problem-solving, sophisticated design and quality products is essential.
• Meeting with the development team to discuss user interface ideas and applications.
• Reviewing application requirements and interface designs.
• Identifying web-based user interactions.
• Developing and implementing highly responsive user interface components using react concepts.
• Writing application interface codes using JavaScript following react.js workflows.
• Troubleshooting interface software... and debugging application codes.
• Monitoring and improving front-end performance.
• Documenting application changes and developing updates.
• Responsible for developing and implementing user interface components using React.js .
• concepts and workflows such as Redux, Flux, and Webpack.
What makes you a great fit:
• Bachelor's degree in computer science, information technology, or a similar field.
• Previous experience working as a react.js developer.
• 2-5 Years of experience in web development using React.js .
• In-depth knowledge of JavaScript, CSS, HTML, and front-end languages.
• Knowledge of REACT tools including React.js, Webpack, Redux, and Flux.
• Experience with user interface design.
• Knowledge of performance testing frameworks including Mocha and Jest.
• Experience with browser-based debugging and performance testing software.
• Excellent troubleshooting skills.
• Good project management skills.
• Familiarity with newer specifications of EcmaScript.
• Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model.
• Thorough understanding of React.js and its core principles.
• Familiarity with RESTful APIs.
• Familiarity with modern front-end builds pipelines and tools.
• Experience with common front-end development tools such as Babel, Webpack, NPM, etc.
• Ability to understand business requirements and translate them into technical requirements"
Sr Frontend Developer,Rock Interview,"Bengaluru, Karnataka, India",via LinkedIn,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRENZYOpja8QaXasgEir4YmqjLZSNkcLCo8Lzppx7o&s,https://in.linkedin.com/jobs/view/sr-frontend-developer-at-rock-interview-3484454928?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Job Description:

We are looking for a Frontend developer who is proficient with Angular 8/9/11 and has knowledge in all stages of software development and delivery of projects from

conception to final product, requiring excellent technical skills and attention to detail. The primary focus will be on developing user interface components and implementing

them. Following well-known Angular workflows. The developer would ensure that these components and the overall application are robust and easy to maintain.

Technology

Front-end Technology: Angular 8+ ,HTML,CSS, JQuery, Ajax

Familiarity with RESTful APIs

Front-end development tools such as Babel, Webpack, NPM, etc

Code versioning tools such as GIT , Azure CI/CD

Responsibilities and Duties:

Designing overall architecture of the web application.

Developing new user-facing features Angular 8+

Building reusable components and front-end libraries for future use

Translating designs and wireframes into high quality code

Optimizing... components for maximum performance across a vast array of web-capable devices and browsers

Maintaining quality and ensure responsiveness of applications.

Agile development and delivery of solutions.

Collaborating with the engineering team to design and launch new features.

Understanding and implementation of security and data protection.

Web and native app development for both mobile and desktop"
Software Engineer III - Frontend Developer,JP Morgan Chase & Co.,"Bengaluru, Karnataka, India",via Foundit.in,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwaD6kwY6-lr52S2fnUSpMV88OyfYcVZUqr1SL&s=0,https://www.foundit.in/job/software-engineer-iii-frontend-developer-jp-morgan-chase-co-bengaluru-bangalore-10354108?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Job responsibilities 6+ years of experience with HTML5, CSS, OO JavaScript, JavaScript Frameworks like React/Angular on enterprise sites Hands-on experience in various frontend technologies like Primarily ReactJS andSecondaryAngular/Vu.JS. Strong hands on programming skills in JavaScript(ES6)/Typescript. Working experience in Micro Frontend Architecture . Hands on with Unit testing libraries like Mocha, Jest, Karma, React testing library, ChaiJS. Good to have Accessibility Knowledge, knowledge on frontend tools like NodeJS, Webpack and Single-Spa, Good to have cloud knowledge like AWS. Required qualifications, capabilities, and skills Executes standard software solutions, design, development, and technical troubleshooting. Writes secure and high-quality code using the syntax of at least one programming language with limited guidance. Analyze and assess functional requirements in consideration of our existing framework and raise concerns timely to address them at the earlier stages... Apply analytical skills & mindset to technical troubleshooting to break down solutions and solve technical problems of basic complexity. Ability to work in large, collaborative teams to achieve organizational goals. Expertise in one or more modern programming languages. Be a Team player and adds to team culture of diversity, equity, inclusion, and respect"
Frontend Developer(Minimum 5 years)- Immediate,TEKsystems,"Hyderabad, Telangana, India",via LinkedIn,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2cuYTrM3g83f_Ud7bZCPlceVilDSM6ozTXfuKa-o&s,https://in.linkedin.com/jobs/view/frontend-developer-minimum-5-years-immediate-at-teksystems-3481074574?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"TOP 3 SKILLS

1 UI Developer – UI Core Development.

2 React JS – 2 years

3 JavaScript – 2 years

QUALIFICATIONS AND EXPERIENCE REQUIRED

4-6 Years of experience in UI Development

2 years of experience in React

ADDITIONAL INFORMATION

Responsibilities

• Build visually stunning, fast and responsive applications for Sales and Marketing teams using ReactJS

• Actively participate in scrum ceremonies - planning, estimation, demos, and retrospectives. Collaborate with other team members and architects to ensure solutions are best practice

• Work with UX researchers and designers ensure features are user-centric

• Work on a daily basis with product owners and testers in a continuous integration environment, and be comfortable adjusting to evolving requirements.

• Complete unit testing, peer reviews and functional testing when needed

• Stay up to date on latest trends and technologies, and suggest way to continuously improve.

• Understand global security organization policies and... practices to ensure secure solution development

• Building reusable components and front-end libraries for future use

• Translating designs and wireframes into high quality functioning code

• Optimizing components for maximum performance across a vast array of web-capable devices and browsers

• Performance tuning, both on code and database levels

• Develop and extend CI CD pipeline

• Report progress and status of assigned tasks to project teams and managers

Please reach out to me for the further discussion namittal@teksystems.com"
Frontend Developer,Decos,India,via Indeed,,,,,https://in.indeed.com/viewjob?jk=3c92c3ea10d7f68f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"We are looking for a proactive Frontend Developer with expertise in Angular along with the experience in UI development. You want to work with an ambitious team, Join us today!

WHO ARE WE

Decos digitizes the world. From our paper and management less offices, we work in self-managing teams, where you determine your goals and the ways in which you will achieve them. You will enjoy your coffee with your future colleagues.

We create IT solutions that allow you to work effectively and efficiently. We do this for governments as well as for private enterprises so that they can better tailor their services to the needs of their residents. For example, we are working on Smart Cities, with smart software that meets today's contemporary digital needs. With beautiful web forms and easy apps, we try to make it so nice and simple for people that applying for an event permit or reporting storm damage is a breeze for everyone.

WE ARE LOOKING FOR

Frontend Developer

Must Have Skills:
• Angular 7... and above
• Knowledge of Angular lifecycle, angular architecture, state management, routing, caching, error handling, components etc.
• Bootstrap
• HTML5, CSS3, typescript/JavaScript.
• Knowledge of Postman, Fiddler
• Knowledge of API's preferable
• Experienced in scalable front-end development.
• Good understanding and experience in service and API constructs

Technical Requirements (Good to Have):
• Knowledge of micro frontend architecture / Micro app architecture
• Front end Unit testing

WHAT’S IN IT FOR YOU?

You receive the opportunity to work in an international environment in a fast-growing software company.
• A lot of room for personal initiative
• Plenty of opportunities for personal development
• A pleasant informal and inspiring work atmosphere
• Enthusiastic colleagues

Are you the colleague who challenges himself to achieve good results? Send your CV and motivation letter to Anita Swarup and tell us why you are a valuable addition to Decos. Our colleagues would like to welcome you to our building"
Frontend Developer,Booking.com,"Bengaluru, Karnataka, India",via Bigshyft.com,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJm-4hT4HnD88G3EtcqD9eGy1vIuFRugkq7KyTFHM&s,https://www.bigshyft.com/frontend-developer-job-in-booking-dot-com-bengaluru-4-to-6-years-1025051-20230217-jid?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"What you’ll do:
• Take initiative to address the larger technical needs of the product.
• Focus on moving the business forward, and be pragmatic about technology choices.
• Always keep the customer at the center of everything you do.
• We want you to have a keen interest in the business, not just any given technical problem.
• Lead initiatives for the improvement of development processes and business opportunities for your team's product and the company as a whole.
• Identify, foster, and proactively help colleagues to grow professionally, taking a significant role in onboarding new team members.
• Represent Booking.com values both in the company and in the external community.
• Advocate a collaborative working environment - make my ideas into our ideas.
• Lead, manage, and resolve technical or design discussions or conflicts.

What makes you a great fit:
• 6 years of experience in a relevant role, preferably in a commercial environment.
• Expert understanding of core front-end web... technologies (JavaScript, HTML, CSS).
• Good knowledge of a JavaScript framework such as React, AngularJS, or vue.js .
• Hands-on experience with NodeJS.
• Experience with TypeScript.
• Ability to write high-performance, reusable code.
• Experience troubleshooting cross-browser compatibility issues.
• Experience with data-driven product development: analytics, A/B testing, etc.
• Knowledge of version control systems.
• Some experience with service-oriented architecture and Kubernetes is an advantage.
• Comfortable working on a command line.
• Excellent communication; written and spoken"
Frontend Developer - Internship,reunion,Anywhere,via AngelList,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVMiQS1qFrvbzwp5Q9LtHw1eLbDsMycx9lXQOqBbI&s,https://angel.co/company/reunionhq/jobs/2577755-frontend-developer-internship?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Role Description
• We are looking for a React Frontend developer to help up with development of various tech products for the Real Estate Industry.
• This is a 3-4 month remote internship with the potential for extension, open to 2nd and 3rd year students as well. As a Frontend Developer, you will be involved in all aspects of the software development lifecycle, including design, coding, testing, bug fixing, and deployment.
• This is a great opportunity to gain hands-on experience in a fast-paced, dynamic environment. We provide flexibility to accommodate your academic obligations, and successful candidates may be offered a pre-placement offer (PPO) upon completion of the internship.
• This internship starts immediately
• As an frontend developer, you will contribute to all aspects of software development including development, testing, fixing bugs, and deployment.
• You will write well designed, testable, and efficient code. Investigate alternative technologies and best practices for... continuous improvement of application quality. Ensure designs are in conformance with established architectural practices.

What are we looking for in the candidate?
• Logical & independent thinker; problem solver; result oriented; takes ownership; entrepreneurial
• Deep understanding of state management via hooks / Redux
• Hands on experience in manipulating DOM, code-splitting/bundling, performance testing & optimization
• Writes & maintains clean code, uses clear & concise variable nomenclatures, ability to identify when to create reusable components
• Always keen to improve and maintain the user experience — especially as technology shifts and users develop different demands and needs.
• Can code in HTML, CSS & JavaScript as well
• Knowledge of low-code / no-code tools to expedite production is a plus
• Clear communication, strong inter-personal skills, ability to work cohesively in teams

What are the expectations from this role?
• Develop & maintain the front end of our product
• Convert user stories, wireframes & prototypes into webpages / PWA / app
• Code user interactions & animations
• Maintain codebase with enough flexibility to allow swift changes in design changes in future
• Contribute to sprint planning
• Build and train the junior developers' team
• Contribute in strategic decisions of front end architecture, tech stack selection, etc.

What can you expect to gain from the role?
• Experience of a lifetime by disrupting the antiquated tech of Real Estate
• A good cash salary
• PPO for candidates completing the internship.
• Standard perks (health insurance, medical benefits etc.)
• Hiring Process *
• CV screening
• Coding Tests
• Technical Interview
• Interview with Founders

reunion focuses on Financial Services, Commercial Real Estate, Mortgage, and Indian Real Estate. Their company has offices in Mumbai. They have a small team that's between 1-10 employees.

You can view their website at https://www.reunionhq.in/ or find them on Twitter, Facebook, and LinkedIn"
