title,company_name,location,from,Benefits,Qualifications,Responsibilities,applyLink,thumbnail,benefits_keywords,qualification_keywords,responsibilities_keywords
Data Scientist,Exponent,"Irvine, CA",via Talentify,,ph d data science physics applied mathematics statistics computer science related engineering scientific field or m s plus three years experience data science physics applied mathematics statistics computer science related engineering scientific field electrical engineering computer engineering computational chemistry bioinformatics computational biology required demonstrated expertise one functional technical domains developing expertise domains cloud architecting database administration data analysis visualization electronic health medical records analysis geospatial data analysis business analytics machine learning deep learning natural language processing computer vision software development required proficiency python including common data science libraries required proficiency sql including query design large complex datasets required experience maintaining processing analyzing large structured unstructured datasets required strong storyteller excellent verbal written visual communication skills above willingness learn embrace new technologies ideas domains beyond area expertise working diverse set clients government agencies,in role partner scientific engineering experts rapidly implement data solutions life sciences health data science consumer electronics utilities industries your solutions models generate real world tangible immediate business public health impact along entire data science lifecycle providing expertise multi disciplinary engineering teams foundational data science domains including data management programming statistics data storytelling exploring transforming analyzing visualizing large datasets various formats including tables text images documents medical records time series collaborating exponent it client side technical contacts developing premises hybrid cloud based transfer storage compute database reporting pipelines working office laboratory field settings data collection analysis activities identifying suggesting solutions possible problematic data analyses making corrections determining root causes data problems preserving lessons learned becoming thought leader commitment ongoing professional development technical skills staying date state art data science techniques empowering practice leadership effectively market data science capabilities internalizing educating fellow consultants capabilities advances field handling multiple projects fast paced environment responsive client needs demonstrating willingness go extra mile meet timelines performance expectations our consultants rewarded technical business contributions opportunity plan future success career growth at associate senior associate level total compensation includes base salary bi weekly bonuses high intensity efforts annual bonus four hundred one k employer contribution seven base salary the base salary range position one hundred ten zero one hundred forty zero depending experience capabilities assessed interview process,https://exponent.talentify.io/job/data-scientist-irvine-california-exponent-6128?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPI9bry6KL7AggyYTx0KedDRZZ4qKbMy6Nm5kU&s=0,[],"[('required proficiency sql including', 0.4656), ('including common data science', 0.4713), ('software development required proficiency', 0.4729), ('expertise functional technical domains', 0.4799), ('domains developing expertise domains', 0.4811), ('computer science related', 0.4834), ('required experience maintaining', 0.4844), ('experience data science physics', 0.4937), ('plus years experience data', 0.5075), ('field plus years experience', 0.5141)]","[('partner scientific engineering', 0.4208), ('career growth associate senior', 0.4282), ('success career growth associate', 0.4348), ('data science lifecycle', 0.4354), ('entire data science lifecycle', 0.4368), ('data analyses making', 0.4389), ('consultants capabilities advances field', 0.4409), ('lifecycle providing expertise multi', 0.4462), ('role partner scientific engineering', 0.4605), ('engineering teams foundational data', 0.4686)]"
Data Science Analyst Sr.,"Experian Information Solutions, Inc.","Costa Mesa, CA",via Jobs.computer.org,telecommuting permitted anywhere u s role incl comprehensive benefits pkg including hlth life disability insurance pto incl twelve paid holidays parental family care leave employee stock purchase plan four hundred one k plan w company match,,,https://jobs.computer.org/jobs/?keywords=Experian+Information+Solutions+Inc.&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,"[('life disability insurance', 0.355), ('plan plan company match', 0.3612), ('parental family care leave', 0.3637), ('family care leave employee', 0.3696), ('comprehensive benefits pkg', 0.371), ('benefits pkg including', 0.3794), ('permitted role incl comprehensive', 0.3806), ('insurance pto incl', 0.3809), ('including hlth life disability', 0.4363), ('telecommuting permitted role', 0.6735)]",[],[]
Senior Data Scientist (Remote),iHerb,"Irvine, CA",via Monster,,experience one programming scripting languages python r c java scala hands experience statistical modeling machine learning packages scikit learn lightgbm xgboost keras pytorch tensorflow statsmodels stan etc deep understanding least one following operations research statistical modelling hypothesis testing statistical simulation probabilistic modelling time series analysis ability gather data multiple sources sql spark etc use data visualization packages analyze gathered data seaborn matplotlib ggplot plotly etc experience microsoft office suite word excel powerpoint generally requires five five years relevant experience data analysis related field data scientist machine learning engineer statistician related field two two years relevant work experience data analysis related field e g data scientist statistician related position master degree computer science statistics applied mathematics physical sciences related quantitative fields judgment reasoning ability able identify troubleshoot resolve problems quickly using sound judgment poise diplomacy ability use judgment reasoning skills determine escalate issues required timely manner hectic fast paced multi level distractions,the senior data scientist leading tackling challenging problems creating statistical machine learning deep learning models impact millions users the senior data scientist join team data scientists machine learning engineers software developers work closely business partners provide machine intelligence driven solutions products simplify enhance customer experience automate core business processes create machine learning deep learning statistical models turn insights robust products customers business partners translate ambiguous business problems analytical problems bringing stakeholders along way end end analysis including data gathering requirements specification processing analysis ongoing deliverables presentations prototype build analytical pipelines using various data sources provide insights scale interact cross functionally wide variety teams work closely identify opportunities improve iherb platform develop analytical solutions forecasting optimization methods improve quality iherb user experience areas include product recommendation end user behavioral modeling user engagement pricing fraud detection etc make business recommendations e g cost benefit forecasting experiment analysis based rigorous analysis while performing duties job team member regularly required talk hear the team member frequently required sit walk climb stairs use hands fingers bend stoop reach hands arms the team member may occasionally lift move office products supplies twenty five pounds reasonable accommodations may made enable individuals disabilities perform essential functions work environment the noise work environment usually moderate empower our people be entrepreneurial pivot quickly the anticipated pay scale position found however pay range applicable may vary geographic location based job located work the final pay offered successful candidate dependent several factors may include limited type years experience within job type years experience within industry education etc employees families meet eligibility criteria outlined applicable plan documents eligible participate medical dental vision basic life insurance programs may enroll company four hundred one k plan employees also eligible time off paid sick leave pursuant company policies employees enjoy paid holidays throughout calendar year hired applicant may awarded restrict stock units receive annual bonuses pursuant eligibility performance criteria defined respective plan documents policies one hundred five zero one hundred sixty seven forty five usd,https://www.monster.com/job-openings/senior-data-scientist-remote-irvine-ca--4c945b6a-8a16-4e34-a8b1-47be769b6313?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHssTvctROe0V-JsvyMOEnyB4iz5Cozc4_NurLj4Q&s,[],"[('analysis ability gather data', 0.4346), ('field data scientist machine', 0.435), ('data scientist machine', 0.4354), ('experience statistical modeling machine', 0.44), ('years relevant experience data', 0.4402), ('engineer statistician related', 0.4505), ('machine learning engineer', 0.4537), ('engineer statistician related field', 0.4563), ('years relevant work experience', 0.4583), ('requires years relevant experience', 0.5036)]","[('years experience industry education', 0.4332), ('join team data scientists', 0.435), ('impact millions users senior', 0.4383), ('work closely identify opportunities', 0.4393), ('years experience job type', 0.4406), ('data scientist join team', 0.4437), ('scientists machine learning engineers', 0.4468), ('type years experience industry', 0.4639), ('machine learning engineers', 0.4699), ('analysis performing duties', 0.4756)]"
Senior Data Scientist,Public Storage,"Ontario, CA",via WJTV Jobs,,bachelors masters stem fields physics social economics business strong technical acumen required alternative education six years experience contributor leader strong verbal communication skills ability effectively communicate cross functionally experience ds team lead department head data science strong command applied math linear matrix functions deep learning theory practice both frequentist bayesian welcome proficiency programming scripting languages python r sql c experience analytic frameworks open source libraries passionate thinking problems solving realistic view ai understanding use deep learning real world situations exceptional programming skills python sql c production environment required,the role lead people process tool choices support efforts build deploy models explain real world using must combination intuition math programming python r sql mandatory she he continuously learning advocate teacher talent breaking complex systems solvable components executing vision as part role mentor data scientists analysts love working team mix issues come light depth technical code reviews hackathons whiteboarding break problems multiple angles exceptional verbal written skills convey ideas problems solutions responsible designing team processes applying design patterns apply statistical model rigor balance design choices calculated trade offs revisit proactively sme algorithms designs code refactored easily data engineers builds repo maintains library models applied refactored similar design patterns expert unstructured structured data set ingestion classification regression deep learning etc mentors trains teams new techniques pushes boundaries existing technology deliver enterprise value owns confluence knowledge repository github model repo refresh troubleshoot update models needed thought leader converge available data transfer learning projects test new algorithms optimize across large ambiguous data sets coordinate design architecture data engineering resources base pay range one hundred forty zero one hundred eighty zero compensation may vary outside range depending number factors including candidate qualifications skills competencies experience location base pay one part total awards approach compensation provided compensate recognize employees work role may eligible additional discretionary bonuses incentives,https://jobs.wjtv.com/jobs/senior-data-scientist-ontario-california/917141882-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVxKP-IAmWdeKSl_N14fyCYig4ep2LUsS-q4Ni&s=0,[],"[('alternative education years', 0.4042), ('required alternative education years', 0.423), ('department head data science', 0.4276), ('welcome proficiency programming scripting', 0.4345), ('years experience contributor', 0.4419), ('programming skills python sql', 0.4699), ('situations exceptional programming skills', 0.472), ('bachelors masters stem', 0.4966), ('skills python sql production', 0.4978), ('bachelors masters stem fields', 0.5303)]","[('designing team processes applying', 0.3905), ('skills competencies experience location', 0.3913), ('refactored easily data engineers', 0.3988), ('team processes applying design', 0.3989), ('executing vision role mentor', 0.4062), ('employees work role', 0.409), ('talent breaking complex systems', 0.4136), ('role lead people process', 0.4183), ('including candidate qualifications skills', 0.4214), ('mentor data scientists', 0.4219)]"
Ecommerce Data Scientist - REMOTE,Stingray Direct,Anywhere,via Salary.com,,bachelor degree statistics math computer science related fields three years experience sql three years experience utilizing machine learning algorithms tools three years experience using python r two years experience google bigquery redshift three years experience data science analytics bachelor required sql three years required python three years required e commerce one year required,the ecommerce data scientist work directly director analytics ceo team members help analyze results develop actionable strategies the ecommerce data scientist must experience analyzing customer operational data using predictive analytics machine learning help create clearer picture consumer behavior answer specific business questions using statistical techniques applied customer inventory subscription data create actionable insights mine complex data sets identify analyze interpret trends patterns automate inventory forecasting models make purchasing recommendations develop predictive models using subscription data answer questions churn customer ltv roas determine short long term effects ab tests revenue customer retention kpi use machine learning enhance understanding customer journeys behavior salary one hundred twenty zero based experience paid time pto paid annual company holidays health dental vision insurance employer matching four hundred one k participation we match charitable contributions five zero yr work home wfh stipend one hundred month free employee product samples discounts pay one hundred twenty 000 00 per year four hundred one k matching eight hour shift work home remote position,https://www.salary.com/job/stingray-direct/ecommerce-data-scientist-remote/j202208200621313748465?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],"[('years required commerce year', 0.5141), ('experience sql years', 0.5191), ('years experience using python', 0.5214), ('python years experience google', 0.5249), ('python years required commerce', 0.5262), ('science analytics bachelor required', 0.5288), ('required sql years required', 0.5364), ('python years experience', 0.5403), ('years experience data science', 0.5493), ('bachelor required sql years', 0.6519)]","[('experience analyzing customer', 0.4623), ('data using predictive analytics', 0.4626), ('data answer questions churn', 0.4628), ('data scientist experience analyzing', 0.4682), ('customer retention kpi', 0.4694), ('customer inventory subscription data', 0.482), ('analytics machine learning help', 0.4831), ('actionable strategies ecommerce data', 0.5117), ('statistical techniques applied customer', 0.5173), ('ecommerce data scientist work', 0.5965)]"
Data Scientist,Metagenics,"Aliso Viejo, CA",via Ladders,,ph d master degree operations research applied statistics data mining machine learning physics related quantitative discipline a deep understanding statistical predictive modeling concepts machine learning approaches clustering classification techniques recommendation optimization algorithms seven ten years experience delivering world class data science outcomes solve complex analytical problems using quantitative approaches unique blend analytical mathematical technical skills experience analyzing large complex multi dimensional datasets variety tools you accomplished use statistical analysis environments spss sas you experience bi tools oracle tableau microstrategy you comfortable relational databases hadoop based data mining frameworks you familiar sql python java c c requires clear vision twenty inches less without corrective lenses hearing speech within normal ranges sufficient clear communication face face especially via telephone,the role holder focused company agenda working high impact projects utilizing big data analytics machine learning initially deliver payload financial product kpi also predictive modelling improve decision making the data science team work closely master data management business intelligence it team productionalize models analytics required advocate evangelize build data fuelled products help business customers improve performance augmented decision making you dig become expert optical datasets you provide insight leading analytic practices design lead iterative learning development cycles ultimately produce new creative analytic solutions become part core deliverables work cross functional team members identify prioritize actionable high impact insights across variety core business areas you lead applied analytics initiatives leveraged across breadth solutions research design implement validate cutting edge algorithms analyze diverse sources data achieve targeted outcomes provide expertise mathematical concepts broader applied analytics team inspire adoption advanced analytics data science across entire breadth organization coordinate it organization designs implements maintains infrastructural data systems geographically distributed fashion contribute formulation information services strategy identifying business issues recommending actions ensuring business needs reflected overall plan coach mentor data science team become proficient scope methodologies pmo technologies applications establish solid relationship outsourced suppliers ensure services affordable delivered expectations bring forward individual training succession plans prepare next generation data science leadership expand kpi reporting encompass new business acquisition fits overall kpi payload framework continuously evaluate new initiatives ensure alignment information services strategy technology statement direction represent data science team externally national level ensure essilor business interests protected promoted prime responsibility developing data science budget directing controlling expenditure planning forecasting future budgets specific focus developing executing allocation model support adhere it policies procedures standards including limited it guiding principles project management change management internal external compliance health safety quality regulatory finance support internal external audits perform activities compliance internal external requirements standards health safety quality regulatory finance sits computer station meeting table work desk two thirds day stands walks stations departments throughout day uses hands fingers operate computers office equipment day lifts ten pounds regularly lifts twenty five pounds occasionally exposed noise levels typical office environments the current range role based texas one hundred sixteen k yr one hundred fifty k yr the wage range role takes account wide range factors considered making compensation decisions including limited skill sets experience training licensure certifications business organizational needs this role may also eligible participate discretionary annual incentive program subject rules governing program whereby award depends various factors including without limitation individual organizational performance medical dental vision annual employer hsa health savings account funding eligible employees elect hsa medical plan std ltd basic life ad d coverage four hundred one k employer matching free mental health resources wayforward vacation sick time two volunteer days per year emergency evacuation time eleven paid company holidays quarterly product allowance use towards favorite metagenics products product discount peer peer recognition programs,https://www.theladders.com/job/data-scientist-metagenics-aliso-viejo-ca_62110002?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxuhqU7lXqtpJhCy-PaY2KPuiqf9s_KF2yPlEf4is&s,[],"[('seven years experience', 0.438), ('class data science', 0.4426), ('analysis environments spss sas', 0.4443), ('use statistical analysis environments', 0.4468), ('technical skills experience analyzing', 0.4504), ('data science outcomes', 0.4552), ('ph master degree', 0.4625), ('related quantitative discipline deep', 0.4651), ('algorithms seven years experience', 0.4752), ('ph master degree operations', 0.5282)]","[('applied analytics initiatives leveraged', 0.4163), ('practices design lead iterative', 0.4186), ('represent data science team', 0.4203), ('information services strategy identifying', 0.4228), ('management business intelligence', 0.4239), ('generation data science leadership', 0.4257), ('core business areas lead', 0.4261), ('evangelize build data fuelled', 0.4292), ('intelligence team productionalize', 0.4301), ('insights variety core business', 0.4571)]"
Data Science Advisor [HYBRID],Southern California Edison,"Azusa, CA",via Nexxt,,five years data science experience supervised unsupervised machine learning natural language processing advanced statistical analysis causal inference predictive analytics bayesian etc seven years experience leading projects design implementation seven years experience statistical software r sas python etc three years experience sql,in job join team data engineers data scientists customer analytics group generate customer insights help improve customer experience in position one seek understand business needs imperatives emerging priorities two design implement advanced analytical models predictive analytics machine learning natural language processing three communicate recommendations actionable insights influence various collaborators implement recommendations four find efficiencies existing data processes improve speed quality future data projects collect analyze customer data using advanced analytical processes statistics e g logistic regression artificial intelligence machine learning natural language processing search large data sets usable information automate data processes lead advanced analytics projects defining scope aligning business outcomes collaborating communicating cross functional teams meeting timelines perform ad hoc analyses create reports based business needs,https://www.nexxt.com/jobs/data-science-advisor-hybrid-azusa-ca-2430016381-job.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic&aff=2ED44C72-8FD2-4B5D-BC54-2F623E88BE26&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],"[('implementation seven years', 0.4972), ('bayesian seven years experience', 0.5077), ('analytics bayesian seven years', 0.5275), ('implementation seven years experience', 0.5451), ('software sas python years', 0.5466), ('sas python years', 0.5557), ('years experience leading', 0.5636), ('data science experience', 0.583), ('python years experience sql', 0.5882), ('years experience leading projects', 0.6102)]","[('analyses create reports', 0.5166), ('analyses create reports based', 0.5178), ('data scientists customer', 0.5221), ('future data projects collect', 0.5258), ('generate customer insights', 0.5279), ('group generate customer insights', 0.5319), ('data engineers data scientists', 0.5414), ('analytics projects defining', 0.543), ('lead advanced analytics projects', 0.5586), ('join team data engineers', 0.5904)]"
"Director, Data Science",Ingram Micro,"Irvine, CA",via LinkedIn,,five ten years experience leading data science organization experience within b two b b two c ecommerce ml automation required master degree preference ph d technical field statistics operations research applied mathematics physics computer science engineering economics applied micro applied econometrics empirical io labor finance behavioral applied macro time series significant expertise leading data science function preferably technology intensive ecommerce business experience google cloud platform ml big query looker or equivalent cloud technologies aws azure advanced skills statistics mathematical modeling econometrics computer science ability retrieve synthesize present critical data format immediately useful answering specific questions improving system performance ability build oversee machine learning statistical models solve specific business problems within ecommerce landscape a visionary understands relevance impact data analytics leverage future state vision transformational seasoned advanced analytics data science quantitative skills proven ability drive results lead team vision execution delivery ability provide leadership applying quantitative analytics business problems a track record around driving innovation transformative change exceptional commercialization skills prior experience leading efforts turn ideas profit generating products solutions experience working effectively complex organizations satisfying needs diverse constituents leading matrix often working pressure competing sometimes conflicting priorities superior communication client management skills comfortable presenting influencing senior executive leadership team a demonstrated ability lead motivate people get results others ability organize manage multiple initiatives priorities problem analysis resolution strategic functional level therefore position requires applicants submit proof prior start date successful applicant fully vaccinated covid nineteen,the director responsibility ingram micro digital ecommerce data science bench including advanced machine learning ai model development rapid deployment ecommerce channel the director team focus building scalable solutions developing advanced algorithms deploying models model output robust cloud based mlops environment providing science based professional services eye towards driving solutions empower ingram micro ecommerce engines the team direct reports responsible developing full funnel rapidly deployed machine learning analytics platform focused recommendation engines forecasts personas purchase behavior enhancing overall digital experience customers vendors associates the role requires individual hands integrated science leader translating business objectives broader team the role establish rapid deployment ml based models drive enhanced user experience fulfilling customers needs recommendations solution based offerings the role work dynamic environment working closely ingram micro digital leadership team partner business product engineering teams deliver ml solutions enable launch ingram micro xvantage platform customers vendors associates globally across sixty countries develop innovative data science solutions products strategies across global business digital ecommerce business unit work closely multiple business units identify areas analysis supervise data collection model development analysis implementation tracking reported roi develop execute innovative science models tools expand scope analytic product offerings including limited traditional operations logistics optimizations customer product segmentation sales marketing strategies tactics insights vendors reseller partners gain executive business unit approval data science strategies test implement strategies live market conditions work analyze structured unstructured data build poc ml models develop new concepts creative offerings leveraging ml ai capabilities test validate models live settings prior launching local country regional global scale deploy production level models output scale ingram ecommerce platform the typical base pay range role across u s usd one hundred fifty six hundred two hundred seven zero two hundred sixty three five hundred per year the ranges reflect potential annual base pay across u s roles applicable base pay range depend candidate primary work location pay grade variable compensation plan individual base pay within range depends various factors addition primary work location complexity responsibility role job duties requirements relevant experience skills base pay ranges reviewed typically updated year offers made within base pay range applicable time hire new hires starting base pay generally falls bottom half minimum midpoint pay range at ingram micro certain roles eligible additional rewards including merit increases annual bonus sales incentives long term incentives u s based employees access healthcare benefits paid time parental leave four hundred one k plan company match short term long term disability coverage basic life insurance wellbeing benefits among others,https://www.linkedin.com/jobs/view/director-data-science-at-ingram-micro-3394855527?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtUiJfEXKcw0icX02nGIgwDYsDRGt2A7k_MUvnFvA&s,[],"[('econometrics computer science ability', 0.4002), ('years experience leading', 0.4046), ('leading data science organization', 0.4081), ('ecommerce business experience google', 0.4117), ('computer science ability retrieve', 0.4135), ('leadership applying quantitative analytics', 0.4221), ('years experience leading data', 0.4244), ('intensive ecommerce business experience', 0.4429), ('azure advanced skills statistics', 0.4462), ('aws azure advanced skills', 0.521)]","[('offerings leveraging ml', 0.4357), ('rapid deployment ecommerce', 0.446), ('global business digital ecommerce', 0.4487), ('micro ecommerce engines team', 0.4488), ('based mlops environment providing', 0.4512), ('ingram ecommerce platform typical', 0.4532), ('mlops environment providing', 0.4559), ('ecommerce data science bench', 0.4585), ('digital ecommerce data science', 0.4603), ('ecommerce business unit work', 0.4814)]"
Atmospheric Data Scientist - 121643,UC San Diego,California,via UCSD Employment,,thorough knowledge research function ability work large datasets different formats components including netcdf grib binary thorough skills associated statistical analysis systems programming proven expertise programming include shell scripting matlab idl fortran perl ncl python amongst programming languages must proficient linux environments thorough skills analysis consultation strong time management skills ability prioritize tasks appropriately meet deadlines skills communicate complex information clear concise manner verbally writing skills scientific visualization scientific writing experience presenting scientific conferences poster oral presentations skills project management excellent interpersonal skills including thoughtfulness diplomacy flexibility ability work independently within ateam framework conjunction principles community staff faculty researchers students experience running numerical weather prediction models high performance computing hpc platforms,the atmospheric research modeler responsible supporting development evaluation verification improvement mesoscale weather prediction models analyzes large data sets including model data observations several platforms develops forecast models decision support tools focused atmospheric processes related extreme events impacts calculates model verification statistics assess prediction skill cw three e weather forecast system contributes variety modeling projects including cw three e near real time forecasting system high resolution reanalysis dynamical ensembles high resolution simulations landfalling atmospheric rivers representation marine boundary layer supports analysis dissemination experimental results via conference presentations manuscripts technical reports publications researches assignments moderate diversity scope exercises judgment within generally defined practices policies selecting methods techniques obtaining solutions annual full pay range sixty three four hundred one hundred forty two eight hundred prorated appointment percentage less one hundred hourly equivalent 30 36 6eight plus 3nine plus,https://employment.ucsd.edu/atmospheric-data-scientist-121643/job/23560699?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5BHHVI6BFAl8WhDoqlyfQy4DWK1FabCIoUdwg&s=0,[],"[('time management skills ability', 0.5113), ('skills project management', 0.5178), ('thorough knowledge research function', 0.5314), ('research function ability work', 0.533), ('linux environments thorough skills', 0.5345), ('environments thorough skills', 0.5351), ('skills analysis consultation', 0.5474), ('binary thorough skills', 0.5517), ('management skills ability', 0.5756), ('knowledge research function ability', 0.5942)]","[('mesoscale weather prediction', 0.4656), ('forecast models decision', 0.4671), ('verification improvement mesoscale weather', 0.4696), ('tools focused atmospheric processes', 0.4702), ('modeler responsible supporting development', 0.479), ('research modeler responsible', 0.4803), ('weather forecast contributes variety', 0.4866), ('platforms develops forecast models', 0.4882), ('skill cw weather forecast', 0.4958), ('support tools focused atmospheric', 0.5018)]"
Head of Data Science,Harnham,"San Bernardino, CA",via Tarta.ai,,eight years full time experience data science analytics five years experience leadership extensive background fintech finance hands experience deploying machine learning statistical models real world applications strong communication skills experience working c level stakeholders implementing strategy tools python sql aws sagemaker,as head data science lead team six data scientists analysts continue grow team drive vision strategy entire team deliver high impact solutions using machine learning predictive modeling work directly leadership teams stakeholders clients review code lead projects build models end end fraud detection risk analysis as head data science expect base salary two hundred twenty zero two hundred forty zero based experience plus competitive benefits,https://california.tarta.ai/j/fsRJU4UBvf0LOA5EzM4v1222-head-of-data-science-in-san-bernardino-california-at-harnham?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,[],"[('deploying machine learning', 0.4227), ('fintech finance hands experience', 0.4238), ('data science analytics', 0.4293), ('years time experience data', 0.4307), ('extensive background fintech', 0.4315), ('skills experience working level', 0.4393), ('experience deploying machine learning', 0.4732), ('leadership extensive background fintech', 0.4737), ('science analytics years', 0.4741), ('years experience leadership extensive', 0.505)]","[('analysis head data', 0.4426), ('lead projects build models', 0.4427), ('risk analysis head', 0.4504), ('lead projects build', 0.4522), ('risk analysis head data', 0.4735), ('lead team data', 0.4981), ('data science expect base', 0.4993), ('data scientists analysts continue', 0.5098), ('data science expect', 0.5239), ('team data scientists', 0.5385)]"
